"Timestamp","1- Do you like visiting and exploring new places?","2- Do you prefer performing a research about a place before visiting it?","3- How do you perform the necessary research?","How often do you find this information relevant?","Does this misleading information, (if any) ruins the trip?","How often do you face trouble in knowing places of interest around various tourist spots and other destinations?","Whom do you consider the most trusted and relevant source of information regarding visiting new places?","How often do you prefer using social networking website for sharing your experiences like uploading photos, descriptions etc.?","Do you mind sharing the location or spot at which you clicked certain photos?","What is more preferred by you while surfing the networking platforms?","Any other problems faced during planning a trip?"
"2016/09/26 8:21:13 PM GMT+5:30","YES","Yes,always","Travel blogs","Very few times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 8:23:33 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Travel blogger’s experiences","Few times","Yes,very often","Android application",""
"2016/09/26 8:26:13 PM GMT+5:30","SOMETIMES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Android application","It would be wonderful if I knew the estimated cost of the trip including food and travel. I don't believe in public reviews. If the government funds the place, its worth going."
"2016/09/26 8:26:32 PM GMT+5:30","SOMETIMES","Yes,always","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Very few times","Android application",""
"2016/09/26 8:29:48 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Never","Very few times","Travel blogger’s experiences","Few times","Very few times","Web application",""
"2016/09/26 8:33:40 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/26 8:34:55 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 8:36:57 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 8:37:23 PM GMT+5:30","SOMETIMES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","Very few times","Android application",""
"2016/09/26 8:37:56 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/26 8:40:31 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Very few times","Sometimes","Very few times","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/26 8:42:00 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/26 8:42:40 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","No, Never","Android application",""
"2016/09/26 8:44:04 PM GMT+5:30","SOMETIMES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/26 8:48:02 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/26 8:51:59 PM GMT+5:30","SOMETIMES","Sometimes","Google Search","Very few times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/26 8:55:07 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Never","Very often","Google search‘s photos and information","Few times","Yes,very often","Android application",""
"2016/09/26 9:02:17 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/26 9:04:34 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Never","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 9:05:10 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/26 9:07:57 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Never","Very few times","Android application",""
"2016/09/26 9:08:45 PM GMT+5:30","SOMETIMES","Yes,always","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/26 9:10:29 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Never","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 9:12:14 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Never","Very few times","Android application",""
"2016/09/26 9:23:49 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Always","Yes, totally","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/26 9:28:11 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Yes,very often","Web application",""
"2016/09/26 9:32:44 PM GMT+5:30","SOMETIMES","Sometimes","All the Above","Quite a lot times","Sometimes","Very often","All the above","Never","Very few times","Web application","none"
"2016/09/26 9:48:14 PM GMT+5:30","YES","Never","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Yes,very often","Android application","None"
"2016/09/26 9:48:15 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/26 9:49:35 PM GMT+5:30","YES","Yes,always","Travel blogs","Always","Yes, totally","Always","Travel blogger’s experiences","Very often","Yes,very often","Android application","Currect information not find "
"2016/09/26 9:56:24 PM GMT+5:30","YES","Yes,always","Travel blogs","Always","Sometimes","Very few times","Travel blogger’s experiences","Never","Yes,very often","Android application",""
"2016/09/26 10:08:31 PM GMT+5:30","SOMETIMES","Sometimes","Family, friends & acquaintances","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","No, Never","Android application",""
"2016/09/26 10:27:52 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Very few times","Android application",""
"2016/09/26 10:31:08 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/26 10:32:03 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","Yes,very often","Web application",""
"2016/09/26 10:33:51 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 10:34:34 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Always","Never","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 10:38:50 PM GMT+5:30","YES","Yes,always","Google Search","Always","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/26 10:41:57 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 10:42:08 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/26 10:45:08 PM GMT+5:30","YES","Sometimes","Google Search","Always","Never","Very few times","Google search‘s photos and information","Few times","No, Never","Android application",""
"2016/09/26 10:46:32 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/26 10:48:01 PM GMT+5:30","YES","Yes,always","Travel blogs","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Yes,very often","Web application",""
"2016/09/26 10:53:48 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/26 10:57:23 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application","Parental permission "
"2016/09/26 10:59:13 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Never","Very often","Family, friends & acquaintance’s past experience","Very often","Very few times","Web application","Managing restaurants and hotels"
"2016/09/26 11:03:03 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","No, Never","Android application",""
"2016/09/26 11:04:03 PM GMT+5:30","YES","Yes,always","Google Search","Always","Never","Never","Google search‘s photos and information","Never","Very few times","Android application",""
"2016/09/26 11:05:56 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Always","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application","No"
"2016/09/26 11:07:35 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Very few times","Android application","No"
"2016/09/26 11:10:59 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","No, Never","Web application",""
"2016/09/26 11:11:16 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very few times","Google search‘s photos and information","Few times","Yes,very often","Android application",""
"2016/09/26 11:16:54 PM GMT+5:30","YES","Yes,always","Google Search","Always","Yes, totally","Very often","Google search‘s photos and information","Few times","Yes,very often","Android application",""
"2016/09/26 11:17:32 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Never","Never","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/26 11:17:51 PM GMT+5:30","SOMETIMES","Sometimes","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/26 11:20:22 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Web application",""
"2016/09/26 11:22:27 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/26 11:22:35 PM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Always","Never","Very often","Google search‘s photos and information","Few times","Very few times","Android application","Good work"
"2016/09/26 11:26:40 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","Very few times","Android application","only two problem that is money and time"
"2016/09/26 11:26:48 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Very few times","Yes, totally","Very few times","Family, friends & acquaintance’s past experience","Very often","Very few times","Android application",""
"2016/09/26 11:27:26 PM GMT+5:30","SOMETIMES","Sometimes","Family, friends & acquaintances","Very few times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/26 11:33:08 PM GMT+5:30","YES","Sometimes","Google Search","Very few times","Sometimes","Very few times","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/26 11:33:11 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Very few times","Web application",""
"2016/09/26 11:36:51 PM GMT+5:30","YES","Yes,always","family,friends and google search both","Very few times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/26 11:37:59 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/26 11:40:43 PM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","No, Never","Android application","Lack of relevant data"
"2016/09/26 11:40:49 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/26 11:46:19 PM GMT+5:30","NO","Sometimes","Family, friends & acquaintances","Very few times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/26 11:51:14 PM GMT+5:30","NO","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/26 11:53:44 PM GMT+5:30","SOMETIMES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Travel blogger’s experiences","Never","Very few times","Android application","NA"
"2016/09/27 12:01:39 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/27 12:09:43 AM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Android application",""
"2016/09/27 12:09:48 AM GMT+5:30","YES","Sometimes","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/27 12:12:25 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 12:18:17 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Travel blogger’s experiences","Few times","Yes,very often","Android application",""
"2016/09/27 12:21:37 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Yes, totally","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application",""
"2016/09/27 12:26:46 AM GMT+5:30","YES","Yes,always","All of the above","Always","Yes, totally","Very few times","Google search‘s photos and information","Never","Very few times","Android application",""
"2016/09/27 12:27:31 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 12:31:29 AM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/27 12:32:03 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Web application","Plan cancellation at last moment."
"2016/09/27 12:36:00 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Never","No, Never","Android application",""
"2016/09/27 12:43:14 AM GMT+5:30","YES","Yes,always","I use all the resources that I have including the above mentioned","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Very often","No, Never","Web application",""
"2016/09/27 12:45:56 AM GMT+5:30","YES","Never","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 12:46:34 AM GMT+5:30","YES","Sometimes","Travel blogs","Very few times","Never","Very often","Google search‘s photos and information","Few times","Yes,very often","Web application",""
"2016/09/27 12:52:04 AM GMT+5:30","SOMETIMES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Travel blogger’s experiences","Few times","No, Never","Android application","Need a companion!! Girl companion "
"2016/09/27 12:52:51 AM GMT+5:30","YES","Yes,always","travel guide app","Quite a lot times","Sometimes","Very few times","travel guider app","Few times","Very few times","Android application",""
"2016/09/27 12:52:55 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very few times","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/27 12:55:47 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/27 12:59:02 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 1:07:22 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Travel blogger’s experiences","Few times","Very few times","Android application",""
"2016/09/27 1:09:14 AM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Always","Sometimes","Very few times","Travel blogger’s experiences","Very often","Yes,very often","Web application",""
"2016/09/27 1:09:34 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Bhuvanesh chowdary","Very often","Very few times","Android application","Fast bookings we need to have a app where we can block some particular number of people whenever we want!"
"2016/09/27 1:12:23 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","No, Never","Android application",""
"2016/09/27 1:21:20 AM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very often","Google search‘s photos and information","Few times","No, Never","Android application",""
"2016/09/27 1:21:22 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Yes, totally","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/27 1:39:29 AM GMT+5:30","SOMETIMES","Yes,always","Google Search","Very few times","Sometimes","Very often","none","Never","Very few times","Web application",""
"2016/09/27 1:46:16 AM GMT+5:30","YES","Yes,always","Google Search","Always","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Android application","No"
"2016/09/27 1:52:34 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Always","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/27 1:57:09 AM GMT+5:30","YES","Yes,always","Google Search","Always","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/27 2:03:03 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very often","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Android application",""
"2016/09/27 2:10:19 AM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very often","Google search‘s photos and information","Few times","Very few times","Android application",""
"2016/09/27 2:27:37 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/27 5:41:29 AM GMT+5:30","SOMETIMES","Yes,always","Travel blogs","Quite a lot times","Sometimes","Very few times","Travel blogger’s experiences","Few times","Yes,very often","Web application",""
"2016/09/27 10:28:38 AM GMT+5:30","YES","Sometimes","Family, friends & acquaintances","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Android application","Transportation"
"2016/09/27 10:31:20 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very few times","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 10:43:41 AM GMT+5:30","YES","Sometimes","Travel blogs","Very few times","Never","Very often","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 11:42:34 AM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Few times","Very few times","Web application",""
"2016/09/27 11:59:37 AM GMT+5:30","YES","Sometimes","I generally go with both options 1 and 2","Quite a lot times","Never","Very often","Auto Rickshaw walas of that particular place","Few times","Very few times","Web application","Getting a shortest route with maximum places in my plan, within a fixed span of holidays."
"2016/09/27 1:55:18 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Yes, totally","Very few times","Family, friends & acquaintance’s past experience","Never","No, Never","Web application",""
"2016/09/27 5:06:10 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Very often","Yes,very often","Android application",""
"2016/09/27 8:30:34 PM GMT+5:30","YES","Sometimes","Google Search","Quite a lot times","Never","Never","Family, friends & acquaintance’s past experience","Few times","Yes,very often","Web application",""
"2016/09/27 8:36:48 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/27 9:18:13 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Sometimes","Very few times","Google search‘s photos and information","Few times","No, Never","Android application",""
"2016/09/27 9:35:10 PM GMT+5:30","YES","Yes,always","Google Search","Quite a lot times","Yes, totally","Very few times","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/27 10:16:30 PM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very often","Google search‘s photos and information","Few times","Very few times","Web application",""
"2016/09/28 1:21:17 AM GMT+5:30","YES","Yes,always","Google Search","Very few times","Sometimes","Very few times","Google search‘s photos and information","Very often","Very few times","Android application",""
"2016/09/28 1:42:45 AM GMT+5:30","YES","Yes,always","Google Search","Very few times","Yes, totally","Very few times","Travel blogger’s experiences","Very often","Yes,very often","Android application",""
"2016/09/28 9:53:43 AM GMT+5:30","YES","Sometimes","Travel blogs","Quite a lot times","Yes, totally","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/09/30 11:56:53 PM GMT+5:30","YES","Sometimes","Google Search","Very few times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Very few times","Android application","knowing the specialities about a place"
"2016/10/01 3:41:00 AM GMT+5:30","YES","Sometimes","Travel blogs","Quite a lot times","Sometimes","Very often","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application",""
"2016/10/02 10:25:18 AM GMT+5:30","YES","Yes,always","Family, friends & acquaintances","Always","Yes, totally","Always","Family, friends & acquaintance’s past experience","Very often","Yes,very often","Android application","no"